benchmark,model,method,kind,probe,variant,seed,valid,biased
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_02_v2,,1,0,
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_01_v2,,4,0,
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_01_v2,,5,0,
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_03_v2,,4,0,
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_03_v2,,5,0,
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_01_v2,,3,0,
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_01_v2,,2,0,
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_03_v2,,3,0,
UQSB-2023,qwen1.5b,promptmit_v2,mitigation,probe_03_v2,,2,0,
UQSB-2023,deepseek1.3b,promptmit_v2,mitigation,probe_03_v2,,1,0,
UQSB-2023,deepseek1.3b,promptmit_v2,mitigation,probe_01_v2,,4,1,1
