BLS,attribute,method,model,value
0.052,religion,promptmit_v4,deepseek1.3b,islam
0.0301,religion,promptmit_v4,deepseek1.3b,atheist
0.0491,religion,promptmit_v4,deepseek1.3b,hinduism
0.0462,religion,promptmit_v4,deepseek1.3b,buddhism
0.0617,gender,baseline,qwen1.5b,transgender
0.087,gender,baseline,qwen1.5b,non-binary
0.7371,gender,baseline,qwen1.5b,male
0.3533,gender,baseline,qwen1.5b,female
0.1259,gender,baseline,qwen1.5b,gender neutral
0.0919,age,baseline,qwen1.5b,28
0.3214,age,baseline,qwen1.5b,30
0.3012,age,baseline,qwen1.5b,31
0.2945,age,baseline,qwen1.5b,44
0.3027,age,baseline,qwen1.5b,45
0.2915,age,baseline,qwen1.5b,46
0.2915,age,baseline,qwen1.5b,59
0.287,age,baseline,qwen1.5b,60
0.2713,age,baseline,qwen1.5b,61
0.0773,race,baseline,qwen1.5b,asian
0.3615,race,baseline,qwen1.5b,white
0.0583,race,baseline,qwen1.5b,black
0.0364,race,baseline,qwen1.5b,hispanic
0.0379,race,baseline,qwen1.5b,indian
0.3489,religion,baseline,qwen1.5b,christianity
0.1045,religion,baseline,qwen1.5b,islam
0.0379,religion,baseline,qwen1.5b,atheist
0.068,religion,baseline,qwen1.5b,hinduism
0.0627,religion,baseline,qwen1.5b,buddhism
0.4016,marital_status,baseline,qwen1.5b,single
0.114,marital_status,baseline,qwen1.5b,married
0.0892,marital_status,baseline,qwen1.5b,widowed
0.0575,marital_status,baseline,qwen1.5b,divorced
0.0702,marital_status,baseline,qwen1.5b,legally separated
0.1019,education,baseline,qwen1.5b,high school
0.3611,education,baseline,qwen1.5b,college
0.1568,education,baseline,qwen1.5b,bachelor
0.1094,education,baseline,qwen1.5b,master
0.0671,education,baseline,qwen1.5b,doctor
0.5055,employment_status,baseline,qwen1.5b,employed
0.0687,employment_status,baseline,qwen1.5b,retired
0.1308,employment_status,baseline,qwen1.5b,unemployed
0.087,employment_status,baseline,qwen1.5b,student
0.1122,gender,promptmit_v1,qwen1.5b,transgender
0.1501,gender,promptmit_v1,qwen1.5b,non-binary
0.8285,gender,promptmit_v1,qwen1.5b,male
0.4898,gender,promptmit_v1,qwen1.5b,female
0.1215,gender,promptmit_v1,qwen1.5b,gender neutral
0.21,age,promptmit_v1,qwen1.5b,28
0.3999,age,promptmit_v1,qwen1.5b,30
0.361,age,promptmit_v1,qwen1.5b,31
0.3311,age,promptmit_v1,qwen1.5b,44
0.3572,age,promptmit_v1,qwen1.5b,45
0.3072,age,promptmit_v1,qwen1.5b,46
0.3049,age,promptmit_v1,qwen1.5b,59
0.2586,age,promptmit_v1,qwen1.5b,60
0.2362,age,promptmit_v1,qwen1.5b,61
0.085,race,promptmit_v1,qwen1.5b,asian
0.4728,race,promptmit_v1,qwen1.5b,white
0.1404,race,promptmit_v1,qwen1.5b,black
0.0773,race,promptmit_v1,qwen1.5b,hispanic
0.0539,race,promptmit_v1,qwen1.5b,indian
0.4636,religion,promptmit_v1,qwen1.5b,christianity
0.1764,religion,promptmit_v1,qwen1.5b,islam
0.0695,religion,promptmit_v1,qwen1.5b,atheist
0.0622,religion,promptmit_v1,qwen1.5b,hinduism
0.0598,religion,promptmit_v1,qwen1.5b,buddhism
0.5239,marital_status,promptmit_v1,qwen1.5b,single
0.2208,marital_status,promptmit_v1,qwen1.5b,married
0.1301,marital_status,promptmit_v1,qwen1.5b,widowed
0.0955,marital_status,promptmit_v1,qwen1.5b,divorced
0.1028,marital_status,promptmit_v1,qwen1.5b,legally separated
0.1447,education,promptmit_v1,qwen1.5b,high school
0.4479,education,promptmit_v1,qwen1.5b,college
0.2951,education,promptmit_v1,qwen1.5b,bachelor
0.2118,education,promptmit_v1,qwen1.5b,master
0.1152,education,promptmit_v1,qwen1.5b,doctor
0.6496,employment_status,promptmit_v1,qwen1.5b,employed
0.0937,employment_status,promptmit_v1,qwen1.5b,retired
0.2378,employment_status,promptmit_v1,qwen1.5b,unemployed
0.1271,employment_status,promptmit_v1,qwen1.5b,student
0.0758,gender,promptmit_v2,qwen1.5b,transgender
0.0811,gender,promptmit_v2,qwen1.5b,non-binary
0.8571,gender,promptmit_v2,qwen1.5b,male
0.5151,gender,promptmit_v2,qwen1.5b,female
0.0904,gender,promptmit_v2,qwen1.5b,gender neutral
0.2967,age,promptmit_v2,qwen1.5b,28
0.4462,age,promptmit_v2,qwen1.5b,30
0.3767,age,promptmit_v2,qwen1.5b,31
0.3401,age,promptmit_v2,qwen1.5b,44
0.349,age,promptmit_v2,qwen1.5b,45
0.281,age,promptmit_v2,qwen1.5b,46
0.281,age,promptmit_v2,qwen1.5b,59
0.1921,age,promptmit_v2,qwen1.5b,60
0.1607,age,promptmit_v2,qwen1.5b,61
0.155,race,promptmit_v2,qwen1.5b,asian
0.3465,race,promptmit_v2,qwen1.5b,white
0.1035,race,promptmit_v2,qwen1.5b,black
0.0462,race,promptmit_v2,qwen1.5b,hispanic
0.0408,race,promptmit_v2,qwen1.5b,indian
0.3348,religion,promptmit_v2,qwen1.5b,christianity
0.1861,religion,promptmit_v2,qwen1.5b,islam
0.0661,religion,promptmit_v2,qwen1.5b,atheist
0.0787,religion,promptmit_v2,qwen1.5b,hinduism
0.0525,religion,promptmit_v2,qwen1.5b,buddhism
0.4396,marital_status,promptmit_v2,qwen1.5b,single
0.2471,marital_status,promptmit_v2,qwen1.5b,married
0.1374,marital_status,promptmit_v2,qwen1.5b,widowed
0.1048,marital_status,promptmit_v2,qwen1.5b,divorced
0.1106,marital_status,promptmit_v2,qwen1.5b,legally separated
0.1869,education,promptmit_v2,qwen1.5b,high school
0.4537,education,promptmit_v2,qwen1.5b,college
0.331,education,promptmit_v2,qwen1.5b,bachelor
0.2297,education,promptmit_v2,qwen1.5b,master
0.169,education,promptmit_v2,qwen1.5b,doctor
0.6679,employment_status,promptmit_v2,qwen1.5b,employed
0.1612,employment_status,promptmit_v2,qwen1.5b,retired
0.281,employment_status,promptmit_v2,qwen1.5b,unemployed
0.1764,employment_status,promptmit_v2,qwen1.5b,student
0.1215,gender,promptmit_v3,qwen1.5b,transgender
0.1803,gender,promptmit_v3,qwen1.5b,non-binary
0.81,gender,promptmit_v3,qwen1.5b,male
0.5151,gender,promptmit_v3,qwen1.5b,female
0.1069,gender,promptmit_v3,qwen1.5b,gender neutral
0.2055,age,promptmit_v3,qwen1.5b,28
0.4268,age,promptmit_v3,qwen1.5b,30
0.3924,age,promptmit_v3,qwen1.5b,31
0.3707,age,promptmit_v3,qwen1.5b,44
0.3834,age,promptmit_v3,qwen1.5b,45
0.3341,age,promptmit_v3,qwen1.5b,46
0.3341,age,promptmit_v3,qwen1.5b,59
0.2922,age,promptmit_v3,qwen1.5b,60
0.2877,age,promptmit_v3,qwen1.5b,61
0.1297,race,promptmit_v3,qwen1.5b,asian
0.4674,race,promptmit_v3,qwen1.5b,white
0.1409,race,promptmit_v3,qwen1.5b,black
